patient_id,assigned_sex,given_name,surname,address,city,state,zip_code,country,birthdate,weight,height,bmi,phone,email
1,female,zoe,wellish,576 Brown Bear Drive,Rancho California,California,92390,United States,1976-07-10,121.7,66,19.6,"('', '951-719-9170')",ZoeWellish@superrito.com
2,female,pamela,hill,2370 University Hill Road,Armstrong,Illinois,61812,United States,1967-04-03,118.8,66,19.2,"('+1 ', '(217) 569-3204')",PamelaSHill@cuvox.de
3,male,jae,debord,1493 Poling Farm Road,York,Nebraska,68467,United States,1980-02-19,177.8,71,24.8,"('', '402-363-6804')",JaeMDebord@gustr.com
4,male,liêm,phan,2335 Webster Street,Woodbridge,NJ,07095,United States,1951-07-26,220.9,70,31.7,"('+1 ', '(732) 636-8246')",PhanBaLiem@jourrapide.com
5,male,tim,neudorf,1428 Turkey Pen Lane,Dothan,AL,36303,United States,1928-02-18,192.3,72,26.1,"('', '334-515-7487')",TimNeudorf@cuvox.de
6,male,rafael,costa,1140 Willis Avenue,Daytona Beach,Florida,32114,United States,1931-08-31,183.9,70,26.4,"('', '386-334-5237')",RafaelCardosoCosta@gustr.com
7,female,mary,adams,3145 Sheila Lane,Burbank,NV,84728,United States,1969-11-19,146.3,65,24.3,"('', '775-533-5933')",MaryBAdams@einrot.com
8,female,xiuxiu,chang,2687 Black Oak Hollow Road,Morgan Hill,CA,95037,United States,1958-08-13,158.0,60,30.9,"('', '408 778 3236')",XiuxiuChang@einrot.com1
9,male,david,gustafsson,1790 Nutter Street,Kansas City,MO,64105,United States,1937-03-06,163.9,66,26.5,"('', '816-265-9578')",DavidGustafsson@armyspy.com
10,female,sophie,cabrera,3303 Anmoore Road,New York,New York,10011,United States,1930-12-03,194.7,64,33.4,"('', '718 795 9124')",SophieCabreraIbarra@teleworm.us1
11,female,sandy,gunnarsson,87 Wood Duck Drive,Rudyard,MI,49780,United States,1974-07-16,199.3,62,36.4,"('', '906-478-8949')",SandyGunnarsson@dayrep.com
12,male,abdul-nur,isa,1092 Farm Meadow Drive,Brentwood,TN,37027,United States,1954-02-03,238.7,73,31.5,"('', '931 207 0839')",Abdul-NurMummarIsa@rhyta.com1
13,male,omeokachie,ibeamaka,2544 Worley Avenue,Lynchburg,VA,24504,United States,1957-08-05,224.2,69,33.1,"('', '434-509-2614')",OmeokachieIbeamaka@einrot.com
14,female,anenechi,chidi,826 Broad Street,Birmingham,AL,35203,United States,1961-03-07,228.4,67,35.8,"('+1 ', '(205) 417-8095')",AnenechiChidi@armyspy.com
15,female,asia,woźniak,4970 Heather Sees Way,Tulsa,OK,74105,United States,1997-08-15,112.0,65,18.6,"('', '918-712-3469')",AsiaWozniak@rhyta.com
16,male,søren,lund,2438 Shady Pines Drive,Kingsport,VA,37660,United States,1922-08-23,201.5,64,34.6,"('', '276-225-1955')",SrenFLund@gustr.com
17,female,tám,liễu,2152 Heritage Road,Fresno,California,93706,United States,1952-11-14,183.9,61,34.7,"('', '559 765 7836')",LieuThiThuTam@dayrep.com1
18,female,roxanne,andreyeva,2103 Edington Drive,Smyrna,GA,30082,United States,1922-07-24,129.1,60,25.2,"('', '678-829-8578')",RoxanneAndreyeva@armyspy.com
19,male,william,oates,441 Tibbs Avenue,Ekalaka,MT,59324,United States,1949-09-04,202.2,64,34.7,"('', '406-775-2696')",WilliamVOates@armyspy.com
20,male,zak,kelly,994 Hill Croft Farm Road,Oroville,California,95966,United States,1988-12-13,208.8,70,30.0,"('', '530 532 8397')",ZakKelly@rhyta.com1
21,female,sofia,karlsen,2931 Romano Street,Whitman,MA,02382,United States,1934-09-24,153.1,66,24.7,"('', '781 447 1763')",SofiaTKarlsen@teleworm.us1
22,male,samúel,guðbrandsson,1904 Granville Lane,Elmsford,NJ,10523,United States,1983-04-12,223.7,69,33.0,"('', '973-445-5341')",SamuelGubrandsson@teleworm.us
23,male,manchu,su,1092 Deans Lane,Pleasantville,NY,10570,United States,1936-01-19,130.7,65,21.7,"('', '914-745-6108')",ManchuSu@einrot.com
24,male,lovre,galić,4941 Marion Drive,Winter Haven,Florida,33830,United States,1960-05-26,222.9,66,36.0,"('', '813 355 9476')",LovreGalic@gustr.com1
25,male,jakob,jakobsen,648 Old Dear Lane,Port Jervis,New York,12771,United States,1985-08-01,155.8,67,24.4,"('+1 ', '(845) 858-7707')",JakobCJakobsen@einrot.com
26,male,gregor,bole,922 Chapmans Lane,Albuquerque,NM,87109,United States,1922-06-19,180.8,67,28.3,"('', '505-828-4955')",GregorBole@gustr.com
27,female,ella,lund,1207 Garfield Road,Peoria,IL,61602,United States,1933-12-19,144.8,61,27.4,"('', '309-671-8852')",EllaLund@armyspy.com
28,male,joseph,tucker,4982 Wood Street,Venice,LA,70091,United States,1959-04-10,175.8,72,23.8,"('', '985-814-7603')",JosephNTucker@rhyta.com
29,male,robert,wolf,2386 Linda Street,Fort Washington,PA,19034,United States,1937-06-26,206.6,70,29.6,"('', '267 895 7462')",RobertWolf@fleckens.hu1
